DATE,REGION,PRODUCT,SALES
2023-01-15,North,Widget A,150.75
2023-01-20,South,Widget B,200.00
2023-02-10,North,Widget A,160.50
2023-02-18,West,Widget C,300.25
2023-03-05,South,Widget B,210.00
2023-03-12,East,Widget D,120.80
2023-04-01,North,Widget A,175.00
2023-04-22,West,Widget C,320.50
2023-05-19,East,Widget D,130.00
2023-05-25,South,Widget B,220.75
2023-06-11,North,Widget A,180.25
2023-06-30,West,Widget C,330.00
2023-07-07,East,Widget D,145.50
2023-07-21,South,Widget B,230.00
2023-08-14,North,Widget A,190.80
2023-08-29,West,Widget C,345.25
2023-09-16,East,Widget D,150.00
2023-09-23,South,Widget B,245.50
2023-10-09,North,Widget A,200.00
2023-10-18,West,Widget C,355.75
2023-11-04,East,Widget D,160.20
2023-11-27,South,Widget B,255.00
2023-12-15,North,Widget A,215.50
2023-12-25,West,Widget C,370.00
2024-01-18,North,Widget A,165.75
2024-01-22,South,Widget B,215.00
2024-02-12,North,Widget A,175.50
2024-02-21,West,Widget C,315.25
2024-03-08,South,Widget B,225.00
2024-03-15,East,Widget D,135.80
2024-04-05,North,Widget A,190.00
2024-04-26,West,Widget C,335.50
2024-05-21,East,Widget D,145.00
2024-05-28,South,Widget B,235.75
